day,temperature,light,humidity,water,leaf,growth_cm,node_cm
0,41.308,9.703486111,82,204.5,0,0,0
1,41.684,11.27524722,77,141.69,0,0,0
2,42.06,11.11900278,79,185.69,0,0,0
3,42.06,11.12223056,80,238.67,2,0.3,0.3
4,41.308,10.93885,82,152,2,0.2,0.5
5,42.248,11.25798889,79,195.6,2,0.2,0.5
6,42.436,11.58068333,78,147.6,2,0.3,0.5
7,41.496,9.129536111,81,269.7,2,0.1,0.6
8,42.812,11.56607222,81,194.7,2,0.4,0.6
9,43.188,10.99201944,76,214.3,4,0.1,0.6
10,43,11.36730278,76,195.5,4,0.2,0.6
11,43.752,9.220505556,73,231.9,4,0.2,0.6
12,42.624,9.739508333,78,188.8,4,0.5,0.6
13,41.872,10.8876,82,221.7,4,0.5,0.6
0,40.744,10.81906944,84,68.7,0,0,0
1,41.12,10.81183333,80,84.44,0,0,0
2,41.872,10.80448611,71,141.22,0,0,0
3,42.06,10.79701944,72,184.36,2,0.3,0.3
4,40.368,10.789425,72,77.61,2,0.3,0.3
5,40.744,10.78169722,78,148.42,2,0.4,0.4
6,39.804,10.77382778,80,87.05,2,0.5,0.5
7,39.428,10.57019722,84,128.74,2,0.5,0.6
8,39.428,10.75763889,83,80.77,4,0.2,0.6
9,40.368,10.7493,79,127.74,4,0.3,0.7
10,41.12,10.49208889,68,88.97,4,0,0.6
11,41.308,10.73220833,70,151.94,4,0.5,0.6
12,43.564,10.72346667,68,100.11,4,0.5,0.6
13,42.06,10.71459722,70,171.51,4,0.5,0.6
0,29.088,0.215283333,78,106,0,0,0
1,28.336,0.052819444,75,-36.83,0,0,0
2,29.088,0.655180556,86,-28.08,0,0,0
3,30.404,4.032052778,87,-17.74,2,0.3,0.2
4,33.224,9.978972222,81,-24.05,2,0.7,0.3
5,35.48,10.10208611,82,17.22,2,0.2,0.5
6,35.292,9.993827778,79,-33.33,2,0.3,0.6
7,35.292,9.506622222,81,-4.8,3,0.5,0.6
8,31.344,0,85,-115.38,4,0,0.6
9,30.592,0,89,-101.62,4,0.5,0.6
10,31.344,0,90,-112.11,4,0.1,0.6
11,29.088,0,88,-129.51,4,0.2,0.6
12,28.524,9,73,-155.72,4,0.2,0.6
13,29.652,10.08488333,71,-99.42,4,0.5,0.6
0,23.448,0.3,82.20833333,106,0,0,0
1,25.328,0,90.20833333,117.83,0,0,0
2,26.644,6.06,90.04166667,41.43,0,0,0
3,18.56,0,84.70833333,28.1,0,0,0
4,18.748,0,78.33333333,14.06,2,0.3,0.2
5,27.396,9.9,72.70833333,20.28,2,0.2,0.4
6,19.876,2.6,85.04166667,16.75,2,0.1,0.5
7,17.996,10.59,60,,2,0.2,0.6
8,23.636,11.07,59.16666667,,2,0.3,0.7
9,21.944,9.32,69.875,,2,0.3,0.7
10,17.808,1.45,68.54166667,35.4,2,0.1,0.7
11,24.764,11.15,57.79166667,23.44,3,0.1,0.7
12,26.644,11.18,61.33333333,67.57,3,0.4,0.7
13,30.028,11.2,58.875,49.94,4,0.5,0.7
0,25.328,4.51,86.875,98,0,0,0
1,27.208,10.47,87.625,-6.5,0,0,0
2,31.72,11,84,5.64,0,0,0
3,29.652,1.32,89.54166667,8.56,2,0.3,0.1
4,22.32,0,85.41666667,-29.08,2,0.2,0.3
5,28.148,10.3,71.83333333,-12.31,2,0.2,0.5
6,30.404,2.02,88,-31.17,2,0.3,0.5
7,23.072,0.16,79.125,-32.79,2,0.5,0.6
8,24.388,6.65,87.5,-21.08,2,0.5,0.6
9,32.284,10.61,82.66666667,-28.19,2,0.2,0.6
10,36.42,12.42,66.625,-41.78,4,0.2,0.6
11,37.736,12.45,61.25,-39.11,4,0.3,0.6
12,30.78,10.82,81.45833333,-31.56,4,0.3,0.6
13,28.712,9.92,83.66666667,-15.97,4,0.3,0.7
0,29.276,0,80.29166667,,0,0,0
1,30.028,10.78,84.83333333,,0,0,0
2,32.096,0,90.25,,0,0,0
3,26.456,0,82.54166667,,2,0.5,0.4
4,28.9,4.68,80.75,,2,1,0.6
5,33.412,12,86.20833333,,2,0.5,1
6,35.48,12.18,82.33333333,,2,0.5,1
7,39.992,12.28,63.41666667,,3,0.7,1.5
8,33.224,11.82,70.04166667,,3,0.2,1.5
9,24.388,0.62,79.20833333,,4,0.6,1.5
10,28.336,6.16,78.25,,4,0,1.5
11,31.908,9.87,76.83333333,,4,1,1.5
12,36.608,12.42,70,,4,0.5,1.5
13,38.3,12.57,71.41666667,,4,0,1.5
0,41.308,9.703486111,82,204.5,0,0,0
1,41.684,11.27524722,77,141.69,0,0,0
2,42.06,11.11900278,79,185.69,0,0,0
3,42.06,11.12223056,80,238.67,2,0.3,0.3
4,41.308,10.93885,82,152,2,0.2,0.5
5,42.248,11.25798889,79,195.6,2,0.2,0.5
6,42.436,11.58068333,78,147.6,2,0.3,0.5
7,41.496,9.129536111,81,269.7,2,0.1,0.6
8,42.812,11.56607222,81,194.7,2,0.4,0.6
9,43.188,10.99201944,76,214.3,4,0.1,0.6
10,43,11.36730278,76,195.5,4,0.2,0.6
11,43.752,9.220505556,73,231.9,4,0.2,0.6
12,42.624,9.739508333,78,188.8,4,0.5,0.6
13,41.872,10.8876,82,221.7,4,0.5,0.6
