day,temperature,light,humidity,water,leaf,growth_cm
0,27.772,10,73,152.3,0,0
1,25.704,8.26225,78,98.75,0,0
2,26.268,8.542472222,76,91.22,0,0
3,25.328,8.751861111,89,110.47,0,0
4,23.636,9.749566667,83,87.75,2,0.3
5,25.516,7.797411111,77,87.68,2,0.3
6,23.072,0,81,71.33,2,0.4
7,15.364,7.792891667,65,73.77,2,0.5
8,20.064,9.210619444,64,73.77,2,0
9,22.508,9.906436111,81,96.65,2,0.3
10,24.952,8.879236111,83,80.97,2,0.2
11,25.892,8.142122222,75,88.57,3,0.3
12,25.328,0.498758333,91,69.75,3,0.2
13,26.08,6.623511111,92,65.34,3,0.9
0,15.74,10,60,125,0,0
1,16.68,4.265394444,67,55.66,0,0
2,16.116,10,72,68.05,0,0
3,22.508,10,66,91.02,0,0
4,20.064,8.945233333,82,110.35,0,0
5,22.132,0.765102778,88,115.47,2,0.3
6,21.756,5.081433333,81,125.08,2,0.7
7,20.628,6.449955556,86,137.44,2,0
8,20.816,8.857422222,85,92.67,2,0.4
9,15.928,4.177333333,76,83.97,2,0.6
10,11.04,0,75,58.7,2,0.4
11,10.664,0.720183333,81,56.62,2,0.1
12,16.492,8.205513889,80,60.48,3,0.1
13,19.124,9.514566667,84,51.16,3,0.4
0,15.74,10,60,125,0,0
1,16.68,4.265394444,67,55.66,0,0
2,16.116,10,72,68.05,0,0
3,22.508,10,66,91.02,0,0
4,20.064,8.945233333,82,110.35,0,0
5,22.132,0.765102778,88,115.47,2,0.3
6,21.756,5.081433333,81,125.08,2,0.7
7,20.628,6.449955556,86,137.44,2,0
8,20.816,8.857422222,85,92.67,2,0.4
9,15.928,4.177333333,76,83.97,2,0.6
10,11.04,0,75,58.7,2,0.4
11,10.664,0.720183333,81,56.62,2,0.1
12,16.492,8.205513889,80,60.48,3,0.1
13,19.124,9.514566667,84,51.16,3,0.4
